green_rank,rider_name,team_name,green_points
1,Milan Jonathan,Lidl - Trek,372
2,Pogačar Tadej,UAE Team Emirates - XRG,294
3,Girmay Biniam,Intermarché - Wanty,232
4,Vingegaard Jonas,Team Visma | Lease a Bike,182
5,Turgis Anthony,Team TotalEnergies,182
6,Abrahamsen Jonas,Uno-X Mobility,173
7,Merlier Tim,Soudal Quick-Step,156
8,van Aert Wout,Team Visma | Lease a Bike,138
9,Groves Kaden,Alpecin - Deceuninck,125
10,Simmons Quinn,Lidl - Trek,123
11,De Lie Arnaud,Lotto,122
12,Onley Oscar,Team Picnic PostNL,115
13,Jorgenson Matteo,Team Visma | Lease a Bike,103
14,Healy Ben,EF Education - EasyPost,97
15,Wellens Tim,UAE Team Emirates - XRG,96
16,Lipowitz Florian,Red Bull - BORA - hansgrohe,84
17,Vauquelin Kévin,Arkéa - B&B Hotels,83
18,Arensman Thymen,INEOS Grenadiers,82
19,Velasco Simone,XDS Astana Team,79
20,Alaphilippe Julian,Tudor Pro Cycling Team,74
21,Trentin Matteo,Tudor Pro Cycling Team,74
22,Grégoire Romain,Groupama - FDJ,71
23,Ballerini Davide,XDS Astana Team,68
24,Eenkhoorn Pascal,Soudal Quick-Step,66
25,Gall Felix,Decathlon AG2R La Mondiale Team,65
26,Rex Laurenz,Intermarché - Wanty,63
27,Penhoët Paul,Groupama - FDJ,61
28,Johannessen Tobias Halland,Uno-X Mobility,59
29,Andresen Tobias Lund,Team Picnic PostNL,59
30,Schmid Mauro,Team Jayco AlUla,57
31,Roglič Primož,Red Bull - BORA - hansgrohe,52
32,Meeus Jordi,Red Bull - BORA - hansgrohe,50
33,Jegat Jordan,Team TotalEnergies,45
34,Consonni Simone,Lidl - Trek,45
35,Laurance Axel,INEOS Grenadiers,44
36,Yates Simon,Team Visma | Lease a Bike,43
37,Armirail Bruno,Decathlon AG2R La Mondiale Team,43
38,Burgaudeau Mathieu,Team TotalEnergies,42
39,Bauhaus Phil,Bahrain - Victorious,42
40,Martinez Lenny,Bahrain - Victorious,41
41,van den Broek Frank,Team Picnic PostNL,40
42,Storer Michael,Tudor Pro Cycling Team,40
43,O'Connor Ben,Team Jayco AlUla,39
44,Campenaerts Victor,Team Visma | Lease a Bike,39
45,Sweeny Harry,EF Education - EasyPost,39
46,Wright Fred,Bahrain - Victorious,39
47,Paret-Peintre Valentin,Soudal Quick-Step,38
48,Nys Thibau,Lidl - Trek,37
49,Stewart Jake,Israel - Premier Tech,36
50,Dainese Alberto,Tudor Pro Cycling Team,36
51,Mohorič Matej,Bahrain - Victorious,36
52,Bittner Pavel,Team Picnic PostNL,34
53,García Cortina Iván,Movistar Team,33
54,Ackermann Pascal,Israel - Premier Tech,33
55,Costiou Ewen,Arkéa - B&B Hotels,32
56,Van Moer Brent,Lotto,32
57,Romeo Iván,Movistar Team,31
58,Buitrago Santiago,Bahrain - Victorious,30
59,Stuyven Jasper,Lidl - Trek,30
60,Johannessen Anders Halland,Uno-X Mobility,29
61,Albanese Vincenzo,EF Education - EasyPost,28
62,Fredheim Stian,Uno-X Mobility,28
63,Plapp Luke,Team Jayco AlUla,27
64,Tejada Harold,XDS Astana Team,26
65,Baudin Alex,EF Education - EasyPost,25
66,Drizners Jarrad,Lotto,25
67,Russo Clément,Groupama - FDJ,24
68,Paret-Peintre Aurélien,Decathlon AG2R La Mondiale Team,22
69,Teunissen Mike,XDS Astana Team,22
70,Haller Marco,Tudor Pro Cycling Team,22
71,Rubio Einer,Movistar Team,21
72,Van Wilder Ilan,Soudal Quick-Step,21
73,Barta Will,Movistar Team,21
74,Asgreen Kasper,EF Education - EasyPost,20
75,Page Hugo,Intermarché - Wanty,20
76,Blackmore Joseph,Israel - Premier Tech,19
77,Lutsenko Alexey,Israel - Premier Tech,19
78,Rickaert Jonas,Alpecin - Deceuninck,19
79,Yates Adam,UAE Team Emirates - XRG,18
80,Leknessund Andreas,Uno-X Mobility,17
81,Narváez Jhonatan,UAE Team Emirates - XRG,16
82,Theuns Edward,Lidl - Trek,16
83,Affini Edoardo,Team Visma | Lease a Bike,15
84,Vlasov Aleksandr,Red Bull - BORA - hansgrohe,14
85,Pacher Quentin,Groupama - FDJ,14
86,Gachignard Thomas,Team TotalEnergies,14
87,Tronchon Bastien,Decathlon AG2R La Mondiale Team,14
88,Thomas Geraint,INEOS Grenadiers,13
89,Mayrhofer Marius,Tudor Pro Cycling Team,13
90,García Pierna Raúl,Arkéa - B&B Hotels,12
91,Powless Neilson,EF Education - EasyPost,12
92,Berckmoes Jenno,Lotto,12
93,Valgren Michael,EF Education - EasyPost,12
94,Capiot Amaury,Arkéa - B&B Hotels,12
95,Woods Michael,Israel - Premier Tech,11
96,Naberman Tim,Team Picnic PostNL,11
97,Pithie Laurence,Red Bull - BORA - hansgrohe,10
98,Watson Samuel,INEOS Grenadiers,10
99,Skujiņš Toms,Lidl - Trek,9
100,Groenewegen Dylan,Team Jayco AlUla,9
101,Foss Tobias,INEOS Grenadiers,8
102,Neilands Krists,Israel - Premier Tech,8
103,Renard Alexis,Cofidis,8
104,Mühlberger Gregor,Movistar Team,7
105,Madouas Valentin,Groupama - FDJ,7
106,Sivakov Pavel,UAE Team Emirates - XRG,7
107,Teuns Dylan,Cofidis,7
108,Louvel Matis,Israel - Premier Tech,7
109,Stannard Robert,Bahrain - Victorious,7
110,Braet Vito,Intermarché - Wanty,7
111,van Sintmaartensdijk Roel,Intermarché - Wanty,7
112,Kuss Sepp,Team Visma | Lease a Bike,6
113,Rodríguez Cristián,Arkéa - B&B Hotels,6
114,Buchmann Emanuel,Cofidis,6
115,Delettre Alexandre,Team TotalEnergies,6
116,Oliveira Nelson,Movistar Team,6
117,Aranburu Alex,Cofidis,6
118,Castrillo Pablo,Movistar Team,6
119,Démare Arnaud,Arkéa - B&B Hotels,6
120,Benoot Tiesj,Team Visma | Lease a Bike,5
121,Vercher Mattéo,Team TotalEnergies,5
122,Higuita Sergio,XDS Astana Team,4
123,Meurisse Xandro,Alpecin - Deceuninck,4
124,Vermeersch Gianni,Alpecin - Deceuninck,4
125,Märkl Niklas,Team Picnic PostNL,4
126,Askey Lewis,Groupama - FDJ,4
127,Martin Guillaume,Groupama - FDJ,3
128,Soler Marc,UAE Team Emirates - XRG,3
129,Hirschi Marc,Tudor Pro Cycling Team,3
130,Cort Magnus,Uno-X Mobility,3
131,Barré Louis,Intermarché - Wanty,2
132,Touzé Damien,Cofidis,2
